code,meaning,product,colour,notes
SSP-2700-DV,Free-space Kit,Shelf,Dove-Grey,"Product contains: 1x 90mm liner, 2 x fillets, 4 x hanger bars plus brackets"
SSP-2400-NK,Free-space Kit,Shelf,Cashmere,"Product contains: 1x 90mm liner, 2 x fillets, 2 x hanger bars plus brackets"
